City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Temperature (C),Pressure (millibars),Humidity,Wind Speed (km/h)
Ahmedabad,98,139.75,0.58,40.13,20.93,16.7,0.85,1.72,123.48,32.2,1011.33,35.4,28.336
Ahmedabad,109.25,150,1.15,23.32,13.25,12.23,0.38,14.37,89.67,32,1011.2,35.4,29.8333
Ahmedabad,115.5,173.75,2.12,24.48,14.75,11.1,0.1,23.55,94.1,30.1,1011.5,35.7,28.4809
Ahmedabad,109,167.5,1.7,21.55,12.85,10.08,0.1,24.4,113.65,29.6,1011.76,35.8,28.5131
Ahmedabad,89.75,141.5,1.6,16.95,10.3,10.65,0.1,19.6,126.92,29.4,1012.01,35.8,25.6956
Ahmedabad,77,113,1.5,16.8,10.15,10.95,0.1,17,138.2,32.5,1012.31,35.7,25.3414
Ahmedabad,55.75,97.5,1.62,13.27,8.4,9.9,0.1,,140.6,33.4,1012.51,35.5,21.413
Ahmedabad,59,96.25,68.57,83.48,100.15,6.75,0.1,10.7,137.22,27.6,1012.52,35.4,17.8549
Ahmedabad,51,84,1.65,13.4,8.42,11.32,0.1,8.83,137.7,30,1012.61,35.5,15.1984
Ahmedabad,48.75,80.75,1.38,15.22,9.23,11.1,0.08,6.83,140.17,33.5,1011.27,35.5,15.7297
Ahmedabad,50,82.75,1.28,14.08,8.55,12.93,0.2,6.07,141.6,37.4,1012.54,35.4,12.3648
Ahmedabad,58,88.75,1.72,20.02,12.08,12.7,0.2,6.9,141.1,44.3,1012.44,35.5,13.8943
Ahmedabad,75.25,125,1.92,30.53,17.8,14.67,0.18,11.18,121.05,44.5,1012.62,35.5,9.8049
Ahmedabad,113,182.5,1.27,37,20.72,16.92,0.08,14.43,107.3,41.8,1012.75,35.5,6.6654
Ahmedabad,123,201.75,1.35,32.88,18.6,14.65,0.1,11.1,99,36.9,1012.96,35.6,7.1162
Ahmedabad,117,174,1.05,10.75,6.55,11.47,0.1,8.1,122,33.3,1013.38,35.6,3.7191
Ahmedabad,71,99.5,0.38,10,5.65,11.67,0.1,8.85,127.4,35.5,1013.14,35.7,14.4739
Ahmedabad,86,105.75,0.15,9.4,5.12,10.78,0.1,8.23,122.98,35.5,1013.33,35.7,20.5275
